fold,train_end,val_start,val_end,n_train,n_val,DA,Train_DA,Gap,AUC
1,2017-04-21,2017-09-01,2018-02-23,156,26,0.1538,1.0,0.8462,0.8125
2,2017-10-20,2018-03-02,2018-08-24,182,26,0.1538,1.0,0.8462,0.0
3,2018-04-20,2018-08-31,2019-02-22,208,26,0.0,1.0,1.0,
4,2018-10-19,2019-03-01,2019-08-23,234,26,0.0,1.0,1.0,
5,2019-04-19,2019-08-30,2020-02-21,260,26,0.6538,1.0,0.3462,0.2476
6,2019-10-18,2020-02-28,2020-08-21,286,26,0.5,1.0,0.5,0.3125
7,2020-04-17,2020-08-28,2021-02-19,312,26,0.0769,1.0,0.9231,0.3333
8,2020-10-16,2021-02-26,2021-08-20,338,26,0.8462,1.0,0.1538,0.875
9,2021-04-16,2021-08-27,2022-02-18,364,26,0.7692,1.0,0.2308,0.8333
10,2021-10-15,2022-02-25,2022-09-09,390,26,0.6538,1.0,0.3462,0.6375
11,2022-05-06,2022-09-16,2023-03-10,416,26,0.7308,1.0,0.2692,0.4952
12,2022-11-04,2023-03-17,2023-09-08,442,26,0.0,1.0,1.0,
13,2023-05-05,2023-09-15,2024-03-08,468,26,0.0,1.0,1.0,
14,2023-11-03,2024-03-15,2024-09-06,494,26,0.8077,1.0,0.1923,0.8
15,2024-05-03,2024-09-13,2025-03-07,520,26,0.2308,1.0,0.7692,0.1917
16,2024-11-01,2025-03-14,2025-09-05,546,26,0.3462,0.9963,0.6502,0.0947
