fold,n_train,n_val,Accuracy,F1,AUC,DA
1,156,26,0.3846,0.4286,0.7841,0.3846
2,182,26,0.0385,0.0741,0.04,0.0385
3,208,26,0.2692,0.4242,,0.2692
4,234,26,0.1923,0.3226,,0.1923
5,260,26,0.5385,0.6,0.9524,0.5385
6,286,26,0.6923,0.7143,0.9792,0.6923
7,312,26,0.9231,0.0,0.9583,0.9231
8,338,26,0.4231,0.0,0.1705,0.4231
9,364,26,0.2308,0.375,0.9833,0.2308
10,390,26,0.6923,0.7143,0.9812,0.6923
11,416,26,0.8462,0.6,0.7714,0.8462
12,442,26,0.0,0.0,,0.0
13,468,26,0.0,0.0,,0.0
14,494,26,0.0385,0.0741,0.48,0.0385
15,520,26,0.7692,0.8696,0.8083,0.7692
16,546,26,0.5,0.6667,0.9822,0.5
