SECID,SHORTNAME,COUPONPERCENT,MATDATE,duration_years,bucket,is_active
SU26207RMFS9,ОФЗ 26207,8.15,2027-02-03,0.7,short,True
SU26212RMFS9,ОФЗ 26212,7.05,2028-01-19,1.6,short,True
SU26218RMFS6,ОФЗ 26218,8.5,2031-09-17,5.3,long,True
SU26219RMFS4,ОФЗ 26219,7.75,2026-09-16,0.3,short,True
SU26221RMFS0,ОФЗ 26221,7.7,2033-03-23,6.8,long,True
SU26224RMFS4,ОФЗ 26224,6.9,2029-05-23,3.0,mid,True
SU26225RMFS1,ОФЗ 26225,7.25,2034-05-10,7.9,long,True
SU26226RMFS9,ОФЗ 26226,7.95,2026-10-07,0.3,short,True
SU26228RMFS5,ОФЗ 26228,7.65,2030-04-10,3.9,mid,True
SU26230RMFS1,ОФЗ 26230,7.7,2039-03-16,12.8,long,True
SU26232RMFS7,ОФЗ 26232,6.0,2027-10-06,1.3,short,True
SU26233RMFS5,ОФЗ 26233,6.1,2035-07-18,9.1,long,True
SU26235RMFS0,ОФЗ 26235,5.9,2031-03-12,4.8,mid,True
SU26236RMFS8,ОФЗ 26236,5.7,2028-05-17,2.0,short,True
SU26237RMFS6,ОФЗ 26237,6.7,2029-03-14,2.8,mid,True
SU26238RMFS4,ОФЗ 26238,7.1,2041-05-15,15.0,long,True
SU26239RMFS2,ОФЗ 26239,6.9,2031-07-23,5.1,long,True
SU26240RMFS0,ОФЗ 26240,7.0,2036-07-30,10.2,long,True
SU26241RMFS8,ОФЗ 26241,9.5,2032-11-17,6.5,long,True
SU26242RMFS6,ОФЗ 26242,9.0,2029-08-29,3.2,mid,True
SU26243RMFS4,ОФЗ 26243,9.8,2038-05-19,12.0,long,True
SU26244RMFS2,ОФЗ 26244,11.25,2034-03-15,7.8,long,True
SU26245RMFS9,ОФЗ 26245,12.0,2035-09-26,9.3,long,True
SU26246RMFS7,ОФЗ 26246,12.0,2036-03-12,9.8,long,True
SU26247RMFS5,ОФЗ 26247,12.25,2039-05-11,12.9,long,True
SU26248RMFS3,ОФЗ 26248,12.25,2040-05-16,14.0,long,True
SU26249RMFS1,ОФЗ 26249,11.0,2032-06-16,6.0,long,True
SU26250RMFS9,ОФЗ 26250,12.0,2037-06-10,11.0,long,True
SU26251RMFS7,ОФЗ 26251,9.5,2030-08-28,4.2,mid,True
SU26252RMFS5,ОФЗ 26252,12.5,2033-10-12,7.4,long,True
SU26253RMFS3,ОФЗ 26253,13.0,2038-10-06,12.4,long,True
SU26254RMFS1,ОФЗ 26254,13.0,2040-10-03,14.3,long,True
SU29007RMFS0,ОФЗ 29007,17.48,2027-03-03,0.7,short,True
SU29008RMFS8,ОФЗ 29008,17.18,2029-10-03,3.3,mid,True
SU29009RMFS6,ОФЗ 29009,16.94,2032-05-05,5.9,long,True
SU29010RMFS4,ОФЗ 29010,19.14,2034-12-06,8.5,long,True
SU29026RMFS0,ОФЗ 29026,14.92,2038-09-04,12.3,long,True
SU46012RMFS9,ОФЗ 46012,7.673,2029-09-05,3.3,mid,True
SU46020RMFS2,ОФЗ 46020,6.9,2036-02-06,9.7,long,True
SU46023RMFS6,ОФЗ 46023,8.16,2026-07-23,0.1,short,True
SU52002RMFS1,ОФЗ 52002,2.5,2028-02-02,1.7,short,True
SU52003RMFS9,ОФЗ 52003,2.5,2030-07-17,4.1,mid,True
SU52004RMFS7,ОФЗ 52004,2.5,2032-03-17,5.8,long,True
SU52005RMFS4,ОФЗ 52005,2.5,2033-05-11,6.9,long,True
